timestamp,open,high,low,close,volume
1763955900.0,1000.0,1004.3,1000.0,1002.7,1165865
1763956800.0,1002.7,1003.0,1000.75,1001.0,417716
1763957700.0,1001.0,1002.35,1000.2,1001.05,310939
1763958600.0,1001.05,1004.0,1001.0,1003.95,375752
1763959500.0,1003.95,1007.55,1003.2,1006.75,434650
1763960400.0,1006.8,1009.3,1006.8,1008.25,466019
1763961300.0,1008.4,1008.75,1007.45,1007.9,270444
1763962200.0,1007.9,1009.0,1007.1,1008.2,318379
1763963100.0,1008.2,1010.0,1007.25,1009.9,413442
1763964000.0,1009.9,1011.45,1009.45,1010.25,672311
1763964900.0,1010.25,1010.25,1007.0,1008.0,429529
1763965800.0,1008.0,1008.85,1006.4,1007.4,235266
1763966700.0,1007.4,1007.8,1005.05,1005.5,442474
1763967600.0,1005.6,1008.9,1005.25,1008.9,474914
1763968500.0,1008.85,1009.4,1006.65,1007.85,543435
1763969400.0,1007.8,1008.3,1005.7,1007.35,745304
1763970300.0,1007.5,1008.5,1006.4,1008.0,318964
1763971200.0,1007.9,1008.6,1006.1,1008.5,576617
1763972100.0,1008.55,1009.0,1007.75,1007.8,332110
1763973000.0,1007.95,1008.0,1005.65,1007.65,591891
1763973900.0,1007.65,1008.0,1005.2,1005.6,570500
1763974800.0,1005.85,1006.9,1004.6,1005.95,814922
1763975700.0,1005.8,1006.4,1004.4,1006.15,588012
1763976600.0,1006.15,1006.2,997.55,997.9,11016157
1763977500.0,997.9,999.4,993.6,997.85,9193204
1764042300.0,1004.0,1006.1,994.75,995.6,1503738
1764043200.0,995.6,998.6,994.65,996.5,298805
1764044100.0,996.5,997.95,995.05,997.3,325835
1764045000.0,997.3,999.45,996.1,999.1,754076
1764045900.0,999.1,999.1,997.1,997.2,338458
1764046800.0,997.35,998.0,996.0,996.05,233960
1764047700.0,996.15,996.75,993.0,993.3,557622
1764048600.0,993.35,993.85,991.75,993.8,397827
1764049500.0,993.9,994.6,992.75,994.5,335925
1764050400.0,994.4,995.0,993.65,993.95,274547
1764051300.0,993.95,997.7,993.7,996.9,666951
1764052200.0,996.85,997.4,994.3,995.65,769179
1764053100.0,995.7,995.75,992.9,993.25,591156
1764054000.0,993.5,996.05,993.25,995.6,1041847
1764054900.0,995.65,996.95,994.8,995.3,779969
1764055800.0,995.3,997.95,994.25,995.75,801609
1764056700.0,995.95,999.95,995.75,999.65,713849
1764057600.0,999.6,1000.6,997.95,998.75,1301788
1764058500.0,998.7,1000.35,998.1,999.4,1167478
1764059400.0,999.5,1000.8,999.05,1000.15,583997
1764060300.0,1000.15,1000.2,995.6,995.75,1029172
1764061200.0,995.65,996.35,993.2,995.95,1320740
1764062100.0,995.95,997.0,991.35,991.5,1330891
1764063000.0,991.55,992.45,988.4,989.75,4559959
1764063900.0,989.8,990.2,988.6,989.45,2695041
1764128700.0,981.3,992.1,981.3,990.9,1994935
1764129600.0,990.85,995.9,990.85,995.5,779892
1764130500.0,995.55,999.7,995.5,999.7,659909
1764131400.0,999.7,1001.0,999.4,1000.5,384298
1764132300.0,1000.25,1000.95,997.45,999.2,355457
1764133200.0,998.95,999.9,997.95,999.0,276045
1764134100.0,999.0,1000.9,998.9,999.1,313034
1764135000.0,999.1,1000.4,998.0,1000.0,658134
1764135900.0,999.8,1001.95,999.8,1001.55,305971
1764136800.0,1001.5,1002.0,999.5,999.7,428372
1764137700.0,999.5,1000.8,999.3,1000.5,253183
1764138600.0,1000.35,1002.0,999.7,1001.6,319917
1764139500.0,1001.7,1002.25,1000.75,1001.85,455610
1764140400.0,1001.5,1004.15,1001.45,1003.6,427250
1764141300.0,1003.6,1003.6,1002.0,1003.15,323979
1764142200.0,1003.2,1004.1,1003.05,1003.95,275368
1764143100.0,1003.85,1004.85,1002.35,1003.0,621893
1764144000.0,1003.1,1005.0,1003.0,1003.6,684472
1764144900.0,1003.6,1005.65,1003.5,1005.0,771208
1764145800.0,1005.0,1006.95,1004.65,1005.0,1419809
1764146700.0,1005.0,1005.0,1003.15,1003.2,765379
1764147600.0,1003.05,1004.55,1003.0,1004.1,842407
1764148500.0,1004.25,1004.65,1002.5,1003.95,1634010
1764149400.0,1004.0,1004.4,1002.65,1004.3,1701606
1764150300.0,1004.35,1005.0,1003.45,1005.0,1347242
1764215100.0,1002.1,1010.65,1001.0,1009.65,3838028
1764216000.0,1009.5,1010.45,1006.7,1008.85,671640
1764216900.0,1008.7,1013.4,1007.5,1012.35,800535
1764217800.0,1012.7,1016.8,1012.4,1015.6,1643807
1764218700.0,1015.4,1015.65,1013.5,1014.45,817810
1764219600.0,1014.35,1015.5,1013.35,1015.3,683921
1764220500.0,1015.0,1016.8,1014.95,1015.3,1932220
1764221400.0,1015.25,1016.3,1015.1,1015.55,562063
1764222300.0,1015.5,1016.0,1014.6,1015.4,545628
1764223200.0,1015.5,1015.7,1014.7,1014.85,412452
1764224100.0,1014.9,1015.1,1011.75,1012.8,581808
1764225000.0,1012.8,1013.7,1010.55,1012.25,862252
1764225900.0,1012.45,1012.9,1010.3,1011.6,383999
1764226800.0,1011.55,1013.9,1011.1,1013.35,436108
1764227700.0,1013.5,1013.75,1011.5,1011.6,438970
1764228600.0,1011.75,1012.2,1009.05,1009.55,669914
1764229500.0,1009.6,1010.1,1006.55,1006.75,750775
1764230400.0,1006.7,1009.3,1006.35,1008.05,612862
1764231300.0,1008.1,1010.85,1008.0,1010.45,613739
1764232200.0,1010.4,1012.5,1009.45,1011.3,880125
1764233100.0,1011.35,1013.2,1009.4,1012.3,1284782
1764234000.0,1012.3,1013.0,1010.4,1011.4,1348946
1764234900.0,1011.35,1011.4,1009.05,1009.6,795223
1764235800.0,1009.6,1011.9,1008.35,1009.1,2396473
1764236700.0,1009.1,1010.35,1008.2,1009.2,1261931
1764301500.0,1007.0,1008.0,1004.25,1007.5,808288
1764302400.0,1007.1,1007.75,1004.2,1005.7,488211
1764303300.0,1005.35,1007.25,1005.35,1006.85,329452
1764304200.0,1006.95,1007.9,1005.65,1005.95,305318
1764305100.0,1005.95,1007.95,1005.35,1007.5,345591
1764306000.0,1007.75,1011.2,1007.25,1011.05,669425
1764306900.0,1011.05,1011.65,1010.5,1011.3,726680
1764307800.0,1011.3,1012.05,1009.65,1011.05,1284007
1764308700.0,1011.05,1011.3,1008.1,1008.55,654855
1764309600.0,1008.55,1009.85,1008.05,1008.85,291635
1764310500.0,1008.8,1010.0,1008.55,1009.5,377140
1764311400.0,1009.95,1010.45,1008.75,1009.35,486780
1764312300.0,1009.35,1010.2,1008.75,1010.0,295761
1764313200.0,1010.0,1012.0,1009.85,1011.0,546209
1764314100.0,1010.75,1011.0,1009.45,1010.3,429010
1764315000.0,1010.15,1010.85,1009.9,1010.1,355608
1764315900.0,1010.0,1011.05,1009.25,1010.3,455118
1764316800.0,1010.15,1011.2,1009.85,1010.2,336054
1764317700.0,1010.2,1010.4,1007.8,1008.7,533168
1764318600.0,1008.6,1009.2,1007.85,1008.5,457211
1764319500.0,1008.6,1009.5,1008.15,1009.5,605832
1764320400.0,1009.5,1011.1,1008.55,1009.65,877451
1764321300.0,1009.65,1010.35,1008.8,1009.55,479570
1764322200.0,1009.55,1009.6,1006.8,1007.2,2064417
1764323100.0,1007.2,1008.0,1006.5,1007.7,1710820
